Year,Month,Rainfall,LTA,rainfall_annn0maly,STDIV,SPI,drought_occurrence,drought_severity,Lat,Lon,elev,Station_name
2021,Jan,276.2,108.13,165.37,79.1,2.09,0,0,-19.33,15.94,1136,Anderson Gate (Ombika)
2021,Jan,273.5,108.13,198.37,78.87,2.52,0,0,-19.35,17.13,1160.201373,Soavis
2021,Jan,306.5,108.13,174.87,78.64,2.22,0,0,-19.48,17.19,1160.201373,Huttenhof
2021,Jan,283,108.13,31.87,78.34,0.41,0,0,-19.45,18.41,1160.201373,Gaikos
2021,Jan,140,108.13,-57.13,78.36,-0.73,0,0,-19.4,18.61,1160.201373,Klein Huis
2021,Jan,51,108.13,0,78.78,0,0,0,-19.1,18.79,1160.201373,Wilde
2021,Jan,108.13,108.13,-88.13,79.05,-1.11,1,1,-18.3,13.65,1424,Kaoko-Otavi ADC
2021,Jan,20,108.13,-26.13,79.05,-0.33,0,0,-18.06,13.84,1160.201373,Opuwo ADC
2021,Jan,82,108.13,0,79.05,0,0,0,-18.12,14.32,1198,Omakange ADC
2021,Jan,108.13,108.13,-10.93,79.06,-0.14,0,0,-18.17,15.44,1097,Onkani ADC
2021,Jan,97.2,108.13,38.97,79.09,0.49,0,0,-18.19,16.38,1098,Onankali ADC
2021,Jan,147.1,108.13,0,79.11,0,0,0,-18.81,16.94,1160.201373,Namutoni
2021,Jan,108.13,108.13,41.87,79.09,0.53,0,0,-18.08,16.53,1101,Onyuulaye ADC
2021,Jan,150,108.13,0,79.09,0,0,0,-18.41,16.64,1099,Okashana ADC
2021,Jan,108.13,108.13,0,79.11,0,0,0,-18.49,17.06,1117,King Kauluma ADC
2021,Jan,108.13,108.13,187.17,79.11,2.37,0,0,-18.73,17.58,1160.201373,Kakuse
2021,Jan,295.3,108.13,84.87,79.11,1.07,0,0,-18.47,17.34,1143,Okapya LDC
2021,Jan,193,108.13,122.37,78.83,1.55,0,0,-18.86,18.13,1160.201373,Choantsas
2021,Jan,230.5,108.13,0,78.76,0,0,0,-18.79,18.93,1160.201373,Mururani
2021,Jan,108.13,108.13,0,78.96,0,0,0,-18.2,19.48,1166,Ncamagoro ADC
2021,Jan,108.13,108.13,-108.13,78.96,-1.37,1,1,-18.37,19.83,1099,Ncaute ADC
2021,Jan,0,108.13,0,78.96,0,0,0,-17.89,15.07,1109,Okahao ADC
2021,Jan,108.13,108.13,-107.43,78.95,-1.36,1,1,-17.65,15.47,1105,Oshikuku ADC
2021,Jan,0.7,108.13,0,78.98,0,0,0,-17.86,13.03,1180,Etanga ADC
2021,Jan,108.13,108.13,-88.13,78.97,-1.12,1,1,-18.01,13.82,1072,Otjisoko-Tjongava ADC
2021,Jan,20,108.13,-29.13,78.97,-0.37,0,0,-18.05,13.84,1165,Opuwo
2021,Jan,79,108.13,-7.13,78.97,-0.09,0,0,-17.9,15.56,1090,Okaukamashe ADC
2021,Jan,101,108.13,-28.13,78.97,-0.36,0,0,-17.79,15.61,1093,Uukwangula ADC
2021,Jan,80,108.13,39.87,79.02,0.5,0,0,-18.05,15.96,1096,Okatyali ADC
2021,Jan,148,108.13,0,79.03,0,0,0,-18.02,15.92,1094,Uukwiyu-Uushona ADC
2021,Jan,108.13,108.13,0,79.01,0,0,0,-17.93,15.87,1091,Eheke 
2021,Jan,108.13,108.13,27.87,79.02,0.35,0,0,-17.43,16.71,1097,Ongha ADC
2021,Jan,136,108.13,-1.13,79.02,-0.01,0,0,-17.91,15.97,1104,Ondangwa DVS
2021,Jan,107,108.13,54.87,79.01,0.69,0,0,-18.12,15.54,1088,Engombe ADC
2021,Jan,163,108.13,41.87,79.02,0.53,0,0,-17.72,16.14,1102,Ongula ya Netanga
2021,Jan,150,108.13,0,79.08,0,0,0,-17.95,16.2,1094,Onayena ADC
2021,Jan,108.13,108.13,12.87,79.09,0.16,0,0,-18.24,16.24,1089,Omuntele ADC
2021,Jan,121,108.13,0,79.09,0,0,0,-17.79,16.46,1118,Epembe ADC
